VID;household_type;heating_type;survey_WP_type;survey_WP_age
1952581;single family house;heat pump;geothermal;>30 years
8636811;NA;NA;NA;NA
2763345;NA;NA;NA;NA
2354887;NA;NA;NA;NA
3645929;single family house;heat pump;geothermal;10-20 years
3680347;NA;NA;NA;NA
5358588;NA;NA;NA;NA
5762427;multi-family house;electric heating;NA;NA
6477921;NA;NA;NA;NA
1593088;NA;NA;NA;NA
7985235;NA;NA;NA;NA
7522129;single family house;heat pump;geothermal;10-20 years
1604352;multi-family house;electric heating;NA;NA
3520987;semidetached house;heat pump;geothermal;10-20 years
7300470;single family house;heat pump;geothermal;10-20 years
7779746;NA;NA;NA;NA
5188049;single family house;heat pump;air;10-20 years
5206124;NA;NA;NA;NA
9053220;NA;NA;NA;NA
4577094;NA;NA;NA;NA
6041704;NA;NA;NA;NA
6516886;semidetached house;electric heating;NA;NA
7955986;NA;NA;NA;NA
2904470;multi-family house;heat pump;geothermal;10-20 years
1908245;NA;NA;NA;NA
5152168;NA;NA;NA;NA
4371798;NA;NA;NA;NA
4825079;NA;NA;NA;NA
7410645;single family house;heat pump;geothermal;10-20 years
2894748;NA;NA;NA;NA
2631914;single family house;heat pump;air;<10 years
7218098;NA;NA;NA;NA
9097722;multi-family house;other;NA;NA
9292043;NA;NA;NA;NA
3366638;NA;NA;NA;NA
6805711;NA;NA;NA;NA
5833399;NA;NA;NA;NA
9266198;NA;NA;NA;NA
8018553;semidetached house;heat pump;air;<10 years
6589525;NA;NA;NA;NA
4323122;NA;NA;NA;NA
7263205;NA;NA;NA;NA
9752060;NA;NA;NA;NA
8899001;single family house;heat pump;geothermal;<10 years
2630918;single family house;heat pump;geothermal;10-20 years
9918171;NA;NA;NA;NA
7385973;single family house;heat pump;geothermal;10-20 years
9717902;NA;NA;NA;NA
4324874;multi-family house;heat pump and boiler;geothermal;<10 years
3111417;NA;NA;NA;NA
4367822;multi-family house;electric heating;NA;NA
6704644;NA;NA;NA;NA
7117162;NA;NA;NA;NA
5848096;NA;NA;NA;NA
5542660;NA;NA;NA;NA
9662421;NA;NA;NA;NA
2200190;NA;NA;NA;NA
4863369;NA;NA;NA;NA
2526568;NA;NA;NA;NA
8952875;NA;NA;NA;NA
6396118;NA;NA;NA;NA
3612652;NA;NA;NA;NA
7086465;NA;NA;NA;NA
7284296;multi-family house;electric heating;NA;NA
5100460;NA;NA;NA;NA
9363467;NA;NA;NA;NA
4127641;NA;NA;NA;NA
3179345;multi-family house;heat pump;geothermal;<10 years
9017729;single family house;electric heating;NA;NA
7362784;NA;NA;NA;NA
7802912;NA;NA;NA;NA
2193534;single family house;electric heating;NA;NA
8966370;single family house;heat pump;geothermal;<10 years
5479007;NA;NA;NA;NA
3408649;NA;NA;NA;NA
9324487;NA;NA;NA;NA
4614496;NA;NA;NA;NA
1417843;NA;NA;NA;NA
9117142;teraced house;electric heating;NA;NA
4475504;NA;NA;NA;NA
5166946;NA;NA;NA;NA
2346709;NA;NA;NA;NA
1926927;single family house;electric heating;NA;NA
1159584;NA;NA;NA;NA
2076804;NA;NA;NA;NA
5731058;NA;NA;NA;NA
1015114;NA;NA;NA;NA
2195739;NA;NA;NA;NA
4002757;NA;NA;NA;NA
5866346;multi-family house;heat pump;geothermal;<10 years
6994092;NA;NA;NA;NA
8505259;single family house;heat pump;geothermal;10-20 years
8475606;NA;NA;NA;NA
1283073;NA;NA;NA;NA
6527170;NA;NA;NA;NA
5529698;NA;NA;NA;NA
7463210;NA;NA;NA;NA
5519504;NA;NA;NA;NA
4679645;single family house;electric heating;NA;NA
4436432;NA;NA;NA;NA
2378209;NA;NA;NA;NA
3518976;single family house;electric heating;NA;NA
6539512;single family house;electric heating;NA;NA
7627418;NA;NA;NA;NA
5846876;NA;NA;NA;NA
8226095;NA;NA;NA;NA
9329313;teraced house;electric heating;NA;NA
5920082;NA;NA;NA;NA
5293838;single family house;heat pump;geothermal;<10 years
7323518;NA;NA;NA;NA
4603180;NA;NA;NA;NA
2898557;NA;NA;NA;NA
1189286;NA;NA;NA;NA
3769945;NA;NA;NA;NA
1580282;NA;NA;NA;NA
4428395;NA;NA;NA;NA
8918115;NA;NA;NA;NA
8753614;NA;NA;NA;NA
9565724;NA;NA;NA;NA
5307844;NA;NA;NA;NA
3235828;NA;NA;NA;NA
3152702;single family house;heat pump;air;<10 years
5623083;NA;NA;NA;NA
2259424;NA;NA;NA;NA
5775605;NA;NA;NA;NA
7904220;NA;NA;NA;NA
6947467;NA;NA;NA;NA
2749991;NA;NA;NA;NA
8853717;single family house;heat pump;air;<10 years
2763951;single family house;heat pump;air;10-20 years
4395170;NA;NA;NA;NA
7533372;single family house;heat pump;air;10-20 years
3719016;NA;NA;NA;NA
8450003;NA;NA;NA;NA
9659405;single family house;electric heating;NA;NA
2404055;NA;NA;NA;NA
