ID;PLZ;Strasse;Betreff;Cons_2011;Days_2011;Cons_2012;Days_2012;Cons_2013;Days_2013;FilterNonHousehold;Portal;pPoints;pEarnedPoints;pHouseholdType;pMainHeatingType;pWaterHeatingType;pLivingAreaM2;pHouseholdMembers;pCreated;pLastVisited
114;8200;Bodenseestraße;3.OG rechts;1823;364;2704;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
115;8200;Bodenseestraße;2.OG rechts;1364;364;1890;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
116;8200;Bodenseestraße;2.OG links;1427;364;1651;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
117;8200;Bodenseestraße;1.OG links;2298;364;3556;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
118;8200;Bodenseestraße;EG rechts;863;89;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
119;8200;Bodenseestraße;EG rechts;0;0;2577;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
120;8200;Bodenseestraße;3.OG rechts;0;0;458;244;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
121;8200;Bodenseestraße;3.OG rechts;0;0;385;211;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
122;8200;Bodenseestraße;3.OG rechts;521;364;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
123;8200;Bodenseestraße;3.OG links;0;0;1195;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
124;8200;Bodenseestraße;3.OG links;350;364;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
125;8200;Bodenseestraße;2.OG links;1959;364;2365;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
126;8200;Bodenseestraße;2.OG rechts;0;0;640;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
127;8200;Bodenseestraße;2.OG rechts;270;137;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
128;8200;Bodenseestraße;2.OG rechts;348;226;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
129;8200;Bodenseestraße;1.OG links;999;364;1084;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
130;8200;Bodenseestraße;1.OG rechts;0;0;1605;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
131;8200;Bodenseestraße;1.OG rechts;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
132;8200;Bodenseestraße;1.OG rechts;1865;364;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
133;8200;Bodenseestraße;EG rechts;1812;364;2041;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
134;8200;Bodenseestraße;EG links;271;91;2258;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
135;8200;Bodenseestraße;EG links;441;272;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
136;8200;Bodenseestraße;EFH Strom;3804;364;4914;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
137;8200;Bodenseestraße;3.OG;6;91;11;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
